molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL2022564,CC[C@H](C)[C@H]1C(=O)N2CCC[C@H]2C(=O)O[C@H](C(C)(C)C)C[C@@H](C)C[C@H](O)[C@H](C)C2=N[C@@H](CCC(=O)N[C@@H](Cc3ccc(OC)cc3)C(=O)N(C)[C@@H](C)C(=O)N1C)CS2,active,828.13,5.112400000000005,2.0,10.0,9.494850021680094
CHEMBL3234200,CC[C@H](C)[C@H]1C(=O)N2CCC[C@H]2C(=O)O[C@H](C(C)(C)C)C[C@@H](C)C[C@H](O)CC2=N[C@@H](CCC(=O)N[C@@H](Cc3ccc(OC)cc3)C(=O)N(C)[C@@H](C)C(=O)N1C)CS2,active,814.103,4.866400000000006,2.0,10.0,9.522878745280337
CHEMBL3234201,CC[C@H](C)[C@H]1C(=O)N2CCC[C@H]2C(=O)O[C@H](C(C)(C)C)C[C@@H](C)C[C@H](O)C(C)(C)C2=N[C@@H](CCC(=O)N[C@@H](Cc3ccc(OC)cc3)C(=O)N(C)[C@@H](C)C(=O)N1C)CS2,active,842.157,5.502500000000006,2.0,10.0,9.327902142064282
CHEMBL3234202,CC[C@H](C)[C@H]1C(=O)N2CCC[C@H]2C(=O)O[C@H](C(C)(C)C)C[C@@H](C)C[C@H](O)[C@H](C)C2=N[C@H](CCC(=O)N[C@@H](Cc3ccc(OC)cc3)C(=O)N(C)[C@@H](C)C(=O)N1C)CS2,active,828.13,5.112400000000005,2.0,10.0,9.920818753952375
CHEMBL3649592,CC1CCC(NCc2ccn(Cc3ccccc3)c(=O)c2O)CC1,inactive,326.4400000000001,3.270500000000002,2.0,4.0,4.562249437179612
CHEMBL3649593,O=c1c(O)c(CNCCCn2ccnc2)ccn1Cc1ccccc1,inactive,338.4110000000001,1.978599999999999,2.0,6.0,4.371611069949688
CHEMBL3649594,CC(NCc1ccn(Cc2ccccc2)c(=O)c1O)c1ccccc1,inactive,334.41900000000004,3.453000000000002,2.0,4.0,4.686132779630847
CHEMBL3674747,COC[C@H]1CCCN1Cc1ccn(Cc2ccccc2)c(=O)c1O,inactive,328.4120000000001,2.2130000000000005,1.0,5.0,4.275724130399211
CHEMBL3649595,CSCCNCc1ccn(Cc2ccccc2)c(=O)c1O,inactive,304.4150000000001,2.0548000000000006,2.0,5.0,4.275724130399211
CHEMBL3649596,O=c1c(O)c(CN2CCN(c3ccc(Cl)nn3)CC2)ccn1Cc1ccccc1,inactive,411.8930000000002,2.367800000000001,1.0,7.0,4.107905397309519
CHEMBL3649597,O=C1NCCCCC1NCc1ccn(Cc2ccccc2)c(=O)c1O,inactive,341.41100000000006,1.3604999999999994,3.0,5.0,4.201349354554731
CHEMBL3649598,O=c1c(O)c(CN2CCN(Cc3ccccc3)CC2)ccn1Cc1ccccc1,inactive,389.49900000000014,2.920000000000001,1.0,5.0,4.899629454882437
CHEMBL3649599,O=c1c(O)c(CN2CCCCCC2)ccn1Cc1ccccc1CO,inactive,342.439,2.470500000000001,2.0,5.0,4.534617148551582
CHEMBL3649600,Cc1ccc(S(=O)(=O)n2ccc(CN3CCC(N4CCCCC4)CC3)c(O)c2=O)cc1,inactive,445.5850000000004,2.549620000000001,1.0,7.0,4.568636235841013
CHEMBL3649601,Cc1ccc(S(=O)(=O)n2ccc(CN3CCN(c4ccc(Cl)nn4)CC3)c(O)c2=O)cc1,inactive,475.95800000000025,1.86492,1.0,9.0,4.721246399047171
CHEMBL3649602,O=c1c(O)c(CNCc2ccccc2)ccn1Cc1ccc(Cl)cc1,inactive,354.8370000000001,3.5454000000000017,2.0,4.0,4.376750709602099
CHEMBL3115298,CC(C)(C)OC(=O)N1CCN(Cc2ccn(Cc3ccc(Cl)cc3)c(=O)c2O)CC1,inactive,433.9360000000002,3.308300000000002,1.0,6.0,4.779891911959945
CHEMBL3649603,Cc1ccc(S(=O)(=O)n2ccc(CN(C)CC(=O)O)c(O)c2=O)cc1,intermediate,366.3950000000001,0.6157199999999998,2.0,7.0,5.6777807052660805
CHEMBL3649604,O=c1c(O)cccn1Cc1ccc(Cl)cc1,intermediate,235.67000000000002,2.2556000000000003,1.0,3.0,5.130768280269024
CHEMBL3649605,O=c1c(O)cccn1Cc1cccc(Cl)c1,inactive,235.67000000000002,2.2556000000000003,1.0,3.0,4.0
CHEMBL3652868,O=c1c(O)c(CN2CCC[C@@H]2CCO)ccn1Cc1ccccc1,inactive,328.41200000000003,1.9489999999999996,2.0,5.0,4.275724130399211
CHEMBL253969,NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1,active,532.4110000000002,3.859200000000003,3.0,6.0,8.278189384787453
CHEMBL5440517,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)CCC(=O)N[C@@H](CCCNC(=N)N)C(=O)O,inactive,571.6310000000003,2.442770000000001,6.0,8.0,5.0
CHEMBL2448064,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC1CCNCC1.Cl,active,453.3450000000003,4.974700000000005,2.0,6.0,6.0
CHEMBL25579,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN(C)c1ccncc1,active,453.90500000000026,5.084700000000005,1.0,7.0,7.0
CHEMBL24026,COc1cc2c(Nc3ccc(C#N)cc3F)ncnc2cc1OC/C=C/CN1CCCC1,intermediate,433.48700000000036,4.423580000000003,1.0,7.0,5.4089353929735005
CHEMBL26050,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OC1CCN(C)CC1,intermediate,416.8840000000003,4.647500000000004,1.0,6.0,5.823908740944319
CHEMBL428534,COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCNCC1,active,396.4660000000003,4.207920000000003,2.0,6.0,6.154901959985743
CHEMBL281872,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1,active,459.2790000000002,3.954100000000003,1.0,8.0,6.154901959985743
CHEMBL281990,COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCN(C)CC1,active,410.49300000000034,4.550120000000004,1.0,6.0,6.301029995663981
CHEMBL422758,COc1cc2c(Nc3c(F)cc(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1,active,448.9010000000003,5.034200000000005,1.0,6.0,6.522878745280337
