molecule_chembl_id,canonical_smiles,standard_value
CHEMBL2022564,CC[C@H](C)[C@H]1C(=O)N2CCC[C@H]2C(=O)O[C@H](C(C)(C)C)C[C@@H](C)C[C@H](O)[C@H](C)C2=N[C@@H](CCC(=O)N[C@@H](Cc3ccc(OC)cc3)C(=O)N(C)[C@@H](C)C(=O)N1C)CS2,0.32
CHEMBL3234200,CC[C@H](C)[C@H]1C(=O)N2CCC[C@H]2C(=O)O[C@H](C(C)(C)C)C[C@@H](C)C[C@H](O)CC2=N[C@@H](CCC(=O)N[C@@H](Cc3ccc(OC)cc3)C(=O)N(C)[C@@H](C)C(=O)N1C)CS2,0.3
CHEMBL3234201,CC[C@H](C)[C@H]1C(=O)N2CCC[C@H]2C(=O)O[C@H](C(C)(C)C)C[C@@H](C)C[C@H](O)C(C)(C)C2=N[C@@H](CCC(=O)N[C@@H](Cc3ccc(OC)cc3)C(=O)N(C)[C@@H](C)C(=O)N1C)CS2,0.47
CHEMBL3234202,CC[C@H](C)[C@H]1C(=O)N2CCC[C@H]2C(=O)O[C@H](C(C)(C)C)C[C@@H](C)C[C@H](O)[C@H](C)C2=N[C@H](CCC(=O)N[C@@H](Cc3ccc(OC)cc3)C(=O)N(C)[C@@H](C)C(=O)N1C)CS2,0.12
CHEMBL3649592,CC1CCC(NCc2ccn(Cc3ccccc3)c(=O)c2O)CC1,27400.0
CHEMBL3649593,O=c1c(O)c(CNCCCn2ccnc2)ccn1Cc1ccccc1,42500.0
CHEMBL3649594,CC(NCc1ccn(Cc2ccccc2)c(=O)c1O)c1ccccc1,20600.0
CHEMBL3674747,COC[C@H]1CCCN1Cc1ccn(Cc2ccccc2)c(=O)c1O,53000.0
CHEMBL3649595,CSCCNCc1ccn(Cc2ccccc2)c(=O)c1O,53000.0
CHEMBL3649596,O=c1c(O)c(CN2CCN(c3ccc(Cl)nn3)CC2)ccn1Cc1ccccc1,78000.0
CHEMBL3649597,O=C1NCCCCC1NCc1ccn(Cc2ccccc2)c(=O)c1O,62900.0
CHEMBL3649598,O=c1c(O)c(CN2CCN(Cc3ccccc3)CC2)ccn1Cc1ccccc1,12600.0
CHEMBL3649599,O=c1c(O)c(CN2CCCCCC2)ccn1Cc1ccccc1CO,29200.0
CHEMBL3649600,Cc1ccc(S(=O)(=O)n2ccc(CN3CCC(N4CCCCC4)CC3)c(O)c2=O)cc1,27000.0
CHEMBL3649601,Cc1ccc(S(=O)(=O)n2ccc(CN3CCN(c4ccc(Cl)nn4)CC3)c(O)c2=O)cc1,19000.0
CHEMBL3649602,O=c1c(O)c(CNCc2ccccc2)ccn1Cc1ccc(Cl)cc1,42000.0
CHEMBL3115298,CC(C)(C)OC(=O)N1CCN(Cc2ccn(Cc3ccc(Cl)cc3)c(=O)c2O)CC1,16600.0
CHEMBL3649603,Cc1ccc(S(=O)(=O)n2ccc(CN(C)CC(=O)O)c(O)c2=O)cc1,2100.0
CHEMBL3649604,O=c1c(O)cccn1Cc1ccc(Cl)cc1,7400.0
CHEMBL3649605,O=c1c(O)cccn1Cc1cccc(Cl)c1,100000.0
CHEMBL3652868,O=c1c(O)c(CN2CCC[C@@H]2CCO)ccn1Cc1ccccc1,53000.0
CHEMBL253969,NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1,5.27
CHEMBL5440517,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)CCC(=O)N[C@@H](CCCNC(=N)N)C(=O)O,10000.0
CHEMBL2448064,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC1CCNCC1.Cl,1000.0
CHEMBL25579,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN(C)c1ccncc1,100.0
CHEMBL24026,COc1cc2c(Nc3ccc(C#N)cc3F)ncnc2cc1OC/C=C/CN1CCCC1,3900.0
CHEMBL26050,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OC1CCN(C)CC1,1500.0
CHEMBL428534,COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCNCC1,700.0
CHEMBL281872,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1,700.0
CHEMBL281990,COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCN(C)CC1,500.0
CHEMBL422758,COc1cc2c(Nc3c(F)cc(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1,300.0
CHEMBL25450,COc1cc2c(Nc3c(F)cc(Cl)cc3F)ncnc2cc1OCC1CCNCC1,450.0
CHEMBL1907763,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OC[C@@H]1CCCN(C)C1,700.0
CHEMBL24137,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCOCC1,200.0
CHEMBL24828,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,900.0
CHEMBL1744349,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OC/C=C/CN1CCCC1.Cl,750.0
CHEMBL24979,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCC1CCN(C)CC1,150.0
CHEMBL2448065,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,2000.0
CHEMBL1907764,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@@H]1CCCN(C)C1,500.0
CHEMBL283088,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCN(C)CC1,300.0
CHEMBL2448067,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCCC1.Cl,200.0
CHEMBL1202477,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl,550.0
CHEMBL416191,COc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,500.0
CHEMBL533849,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,1600.0
CHEMBL1907944,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@H]1CCCN(C)C1,500.0
CHEMBL1744347,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl,600.0
CHEMBL25610,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCOCC1,1100.0
CHEMBL26641,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCC1CCNCC1,200.0
CHEMBL279459,COc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCC1CCNCC1,800.0
CHEMBL1202473,COc1cc2c(Nc3cc(O)c(C)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,25.0
CHEMBL25425,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCC1CCN(C)CC1,500.0
CHEMBL286160,COCCOc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,400.0
CHEMBL2448066,COc1cc2c(Nc3cc(O)c(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,20.0
CHEMBL1202478,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC/C=C/CN1CCCC1.Cl,650.0
CHEMBL21156,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,1520.0
CHEMBL421329,CCCNC(=O)c1cc2ncnc(Nc3ccc4[nH]ccc4c3)c2s1,2000.0
CHEMBL76432,c1ccc(-c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,48.0
